book dataset skim bx pdfrwgt json

#t2mit/filefi/043  MuonEG+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  MuonEG+Run2015D-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  DoubleMuon+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  DoubleMuon+Run2015D-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  DoubleEG+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  DoubleEG+Run2015D-16Dec2015-v2+AOD - 25ns - -
#t2mit/filefi/043  SingleMuon+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  SingleMuon+Run2015D-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  SingleElectron+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  SingleElectron+Run2015D-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  SinglePhoton+Run2015C_25ns-16Dec2015-v1+AOD - 25ns - -
#t2mit/filefi/043  SinglePhoton+Run2015D-16Dec2015-v1+AOD - 25ns - -

#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-1000_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-1000_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-1_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-500_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-500_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-10000_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-1000_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-1000_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-10_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-10_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-150_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-150_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-1_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-50_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-1000_Mchi-50_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-100_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
#t2mit/filefi/043  VectorMonoZ_Mphi-100_Mchi-100_lep_gSM-1p0_gDM-1p0_13TeV-madgraph+RunIISpring15DR74-Asympt25ns_MCRUN2_74_V9-v1+AODSIM - 25ns mg5_74 ~
